text,intent
"Xin chào, làm ơn cho tôi biết bạn cần gì",greeting
"Xin chào, tôi có thể giúp gì cho bạn hôm nay?",greeting
"Xin chào, tôi ở đây để lắng nghe bạn",greeting
"Xin chào, tôi sẵn sàng giúp đỡ bạn",greeting




"Tạm biệt",farewell
"Hẹn gặp lại",farewell
"Goodbye",farewell
"Chúc bạn một ngày tốt lành",farewell

"Làm thế nào để theo dõi các triệu chứng của bệnh tiểu đường?",symptoms
"Có những dấu hiệu nào cho thấy tôi cần đi khám sức khỏe ngay lập tức?",symptoms
"Có những dấu hiệu nào cho thấy tôi cần thay đổi chế độ ăn uống?",symptoms
"Có những dấu hiệu nào cho thấy tôi cần theo dõi sức khỏe cẩn thận hơn?",symptoms
"Làm thế nào để nhận biết các triệu chứng sức khỏe bất thường?",symptoms
"Các triệu chứng của huyết áp cao là gì?",symptoms
"Bệnh chàm có triệu chứng ra sao?",symptoms
"Bệnh Crohn có triệu chứng gì?",symptoms
"Bệnh giang mai có triệu chứng gì?",symptoms
"Bệnh lạc nội mạc tử cung có triệu chứng gì?",symptoms
"Bệnh nhiễm virus HIV có triệu chứng gì?",symptoms
"Bệnh phổi tắc nghẽn mạn tính có triệu chứng gì?",symptoms
"Bệnh suy gan có thể gây ra triệu chứng gì?",symptoms
"Bệnh tiểu đường có triệu chứng gì?",symptoms
"Bệnh viêm gan A có những triệu chứng gì?",symptoms
"Bệnh viêm gan siêu vi C có những triệu chứng gì?",symptoms
"Bệnh viêm mũi dị ứng có triệu chứng gì?",symptoms
"Bệnh viêm phế quản có triệu chứng gì?",symptoms
"Bệnh viêm phổi có triệu chứng gì?",symptoms
"Bệnh viêm tai giữa có triệu chứng gì?",symptoms
"Bệnh viêm thận có triệu chứng gì?",symptoms
"Bệnh viêm thanh quản có triệu chứng gì?",symptoms
"Bệnh viêm túi mật có triệu chứng gì?",symptoms
"Các triệu chứng của bệnh dị ứng là gì?",symptoms
"Các triệu chứng của bệnh tiểu đường type 2 là gì?",symptoms
"Các triệu chứng của bệnh tim mạch thường gặp là gì?",symptoms
"Các triệu chứng của cúm là gì?",symptoms
"Các triệu chứng của cúm là gì?",symptoms
"Các triệu chứng của rối loạn lo âu là gì?",symptoms
"Các triệu chứng của trầm cảm là gì?",symptoms
"Các triệu chứng của trầm cảm là gì?",symptoms
"Có dấu hiệu nào cho thấy tôi bị bệnh da liễu không?",symptoms
"Có dấu hiệu nào cho thấy tôi bị bệnh đái tháo đường không?",symptoms
"Có dấu hiệu nào cho thấy tôi bị bệnh gout không?",symptoms
"Có dấu hiệu nào cho thấy tôi bị bệnh gout không?",symptoms
"Có dấu hiệu nào cho thấy tôi bị bệnh mạch vành không?",symptoms
"Có dấu hiệu nào cho thấy tôi bị bệnh thần kinh không?",symptoms
"Có dấu hiệu nào cho thấy tôi bị bệnh viêm gan không?",symptoms
"Có dấu hiệu nào cho thấy tôi bị bệnh viêm loét dạ dày không?",symptoms
"Có dấu hiệu nào cho thấy tôi bị bệnh xơ gan không?",symptoms
"Có những triệu chứng gì của bệnh lao?",symptoms
"Có những triệu chứng nào của bệnh đau nửa đầu?",symptoms
"Có những triệu chứng nào của bệnh đau nửa đầu?",symptoms
"Có những triệu chứng nào của bệnh viêm phổi?",symptoms
"Có những triệu chứng nào của bệnh viêm phổi?",symptoms
"Có triệu chứng nào báo hiệu bệnh ung thư không?",symptoms
"Có triệu chứng nào cho thấy tôi bị bệnh rối loạn tiêu hóa không?",symptoms
"Có triệu chứng nào cho thấy tôi bị bệnh sởi không?",symptoms
"Có triệu chứng nào cho thấy tôi bị bệnh tiểu đường thai kỳ không?",symptoms
"Có triệu chứng nào cho thấy tôi bị bệnh tim không?",symptoms
"Có triệu chứng nào cho thấy tôi bị bệnh tuyến giáp không?",symptoms
"Có triệu chứng nào cho thấy tôi bị bệnh viêm quanh khớp không?",symptoms
"Có triệu chứng nào cho thấy tôi bị cảm lạnh không?",symptoms
"Có triệu chứng nào cho thấy tôi bị cảm lạnh không?",symptoms
"Có triệu chứng nào cho thấy tôi bị thiếu vitamin không?",symptoms
"Có triệu chứng nào cho thấy tôi bị viêm tai giữa không?",symptoms
"Có triệu chứng nào cho thấy tôi bị viêm thận không?",symptoms
"Có triệu chứng nào cho thấy tôi bị viêm thận không?",symptoms
"Có triệu chứng nào của bệnh trầm cảm ở trẻ em không?",symptoms
"Có triệu chứng nào của bệnh trầm cảm ở trẻ em không?",symptoms
"Có triệu chứng nào của bệnh viêm amidan không?",symptoms
"Có triệu chứng nào liên quan đến bệnh lo âu không?",symptoms
"Có triệu chứng nào liên quan đến bệnh lo âu không?",symptoms
"Làm thế nào để biết tôi có bị dị ứng hay không?",symptoms
"Làm thế nào để nhận biết bệnh viêm phổi?",symptoms
"Làm thế nào để nhận biết triệu chứng của bệnh mề đay?",symptoms
"Làm thế nào để nhận biết triệu chứng của bệnh suy tim?",symptoms
"Làm thế nào để nhận biết triệu chứng của bệnh suy tim?",symptoms
"Làm thế nào để nhận biết triệu chứng của bệnh tiểu đường?",symptoms
"Làm thế nào để nhận biết triệu chứng của bệnh viêm mũi dị ứng?",symptoms
"Làm thế nào để nhận biết triệu chứng của bệnh viêm mũi xoang?",symptoms
"Làm thế nào để nhận biết triệu chứng của bệnh viêm mũi xoang?",symptoms
"Nhận biết triệu chứng của bệnh sốt xuất huyết như thế nào?",symptoms
"Những triệu chứng của bệnh phổi tắc nghẽn mạn tính là gì?",symptoms
"Tôi cần làm gì khi có triệu chứng buồn nôn và nôn?",symptoms

"Tôi cần làm gì khi có triệu chứng sốt cao kéo dài?",treatment
"Tôi cần lưu ý gì khi có triệu chứng chóng mặt?",symptoms
"Tôi cần lưu ý gì khi có triệu chứng đau đầu kéo dài?",symptoms
"Tôi có thể nhận biết bệnh tim qua triệu chứng nào?",symptoms
"Tôi có triệu chứng gì khi bị bệnh tiểu đường?",symptoms
"Tôi nên làm gì khi có triệu chứng ho kéo dài?",symptoms
"Triệu chứng bệnh cúm là gì?",symptoms
"Triệu chứng của bệnh cảm cúm là gì?",symptoms
"Triệu chứng của bệnh cúm là gì?",symptoms
"Triệu chứng của bệnh đau bụng kinh là gì?",symptoms
"Triệu chứng của bệnh đau dạ dày là gì?",symptoms
"Triệu chứng của bệnh đau dạ dày là gì?",symptoms
"Triệu chứng của bệnh đau lưng là gì?",symptoms
"Triệu chứng của bệnh huyết áp cao là gì?",symptoms
"Triệu chứng của bệnh lupus là gì?",symptoms
"Triệu chứng của bệnh Parkinson là gì?",symptoms
"Triệu chứng của bệnh Parkinson là gì?",symptoms
"Triệu chứng của bệnh phổi tắc nghẽn mạn tính là gì?",symptoms
"Triệu chứng của bệnh sốt rét là gì?",symptoms
"Triệu chứng của bệnh suy thận là gì?",symptoms
"Triệu chứng của bệnh tâm thần phân liệt là gì?",symptoms
"Triệu chứng của bệnh tăng huyết áp là gì?",symptoms
"Triệu chứng của bệnh thiếu máu là gì?",symptoms
"Triệu chứng của bệnh thiếu máu là gì?",symptoms
"Triệu chứng của bệnh tiểu đường có thể nhận biết như thế nào?",symptoms
"Triệu chứng của bệnh tiểu đường là gì?",symptoms
"Triệu chứng của bệnh tiểu đường type 1 là gì?",symptoms
"Triệu chứng của bệnh tiểu đường type 1 là gì?",symptoms
"Triệu chứng của bệnh trào ngược dạ dày thực quản là gì?",symptoms
"Triệu chứng của bệnh trào ngược dạ dày thực quản là gì?",symptoms
"Triệu chứng của bệnh ung thư phổi là gì?",symptoms
"Triệu chứng của bệnh ung thư phổi là gì?",symptoms
"Triệu chứng của bệnh viêm bàng quang là gì?",symptoms
"Triệu chứng của bệnh viêm da cơ địa là gì?",symptoms
"Triệu chứng của bệnh viêm dạ dày là gì?",symptoms
"Triệu chứng của bệnh viêm gan là gì?",symptoms
"Triệu chứng của bệnh viêm gan virus là gì?",symptoms
"Triệu chứng của bệnh viêm khớp dạng thấp là gì?",symptoms
"Triệu chứng của bệnh viêm khớp dạng thấp là gì?",symptoms
"Triệu chứng của bệnh viêm khớp là gì?",symptoms
"Triệu chứng của bệnh viêm khớp là gì?",symptoms
"Triệu chứng của bệnh viêm màng não là gì?",symptoms
"Triệu chứng của bệnh viêm mũi dị ứng là gì?",symptoms
"Triệu chứng của bệnh viêm phế quản là gì?",symptoms
"Triệu chứng của bệnh viêm phổi là gì?",symptoms
"Triệu chứng của bệnh viêm phổi là gì?",symptoms
"Triệu chứng của bệnh viêm ruột là gì?",symptoms
"Triệu chứng của bệnh viêm ruột là gì?",symptoms
"Triệu chứng của bệnh viêm tụy là gì?",symptoms
"Triệu chứng của bệnh viêm tụy là gì?",symptoms





"Có những phương pháp nào giúp cải thiện sức khỏe tâm lý?",treatment
"Có những phương pháp nào giúp cải thiện sức khỏe tinh thần?",treatment
"Có những phương pháp nào giúp giảm căng thẳng hiệu quả?",treatment
"Làm thế nào để giảm cân an toàn và hiệu quả?",treatment
"Làm thế nào để đối phó với căng thẳng và lo âu?",treatment
"Các phương pháp điều trị đau đầu là gì?",treatment
"Cách điều trị bệnh viêm phế quản là gì?",treatment
"Cách điều trị viêm họng là gì?",treatment
"Cách điều trị viêm họng là gì?",treatment
"Cách nào để cải thiện sức khỏe đường hô hấp?",treatment
"Cách nào để cải thiện sức khỏe hệ miễn dịch?",treatment
"Cách nào để cải thiện sức khỏe hệ miễn dịch?",treatment
"Cách nào để cải thiện triệu chứng của bệnh béo phì?",treatment
"Cách nào để cải thiện triệu chứng của bệnh cúm?",treatment
"Cách nào để điều trị bệnh béo phì?",treatment
"Cách nào để điều trị bệnh động kinh?",treatment
"Cách nào để điều trị bệnh động kinh?",treatment
"Cách nào để điều trị bệnh rối loạn lo âu?",treatment
"Cách nào để điều trị bệnh tiểu đường type 2?",treatment
"Cách nào để điều trị bệnh viêm amidan?",treatment
"Cách nào để điều trị bệnh viêm bàng quang?",treatment
"Cách nào để điều trị bệnh viêm bàng quang?",treatment
"Cách nào để điều trị bệnh viêm màng não?",treatment
"Cách nào để điều trị bệnh viêm mũi dị ứng?",treatment
"Cách nào để điều trị bệnh viêm mũi dị ứng?",treatment
"Cách nào để điều trị bệnh viêm phế quản không?",treatment
"Cách nào để giảm triệu chứng của bệnh đau nhức cơ bắp?",treatment
"Cách nào để giảm triệu chứng của bệnh đau nửa đầu?",treatment
"Cách nào để giảm triệu chứng của bệnh dị ứng?",treatment
"Cách nào để giảm triệu chứng của bệnh viêm khớp dạng thấp?",treatment
"Cách nào để giảm triệu chứng của bệnh viêm phổi?",treatment
"Cách nào để giảm triệu chứng của bệnh viêm tụy?",treatment
"Có cách nào cải thiện tình trạng bệnh tiểu đường không?",treatment
"Có cách nào để cải thiện sức khỏe tâm thần không?",treatment
"Có cách nào để cải thiện sức khỏe tâm thần không?",treatment
"Có cách nào để cải thiện tình trạng mất ngủ không?",treatment
"Có cách nào để điều trị bệnh đau đầu do căng thẳng không?",treatment
"Có cách nào để điều trị bệnh đau lưng không?",treatment
"Có cách nào để điều trị bệnh mất ngủ không?",treatment
"Có cách nào để điều trị bệnh rối loạn giấc ngủ không?",treatment
"Có cách nào để điều trị bệnh rối loạn stress sau chấn thương không?",treatment
"Có cách nào để điều trị bệnh suy thận không?",treatment
"Có cách nào để điều trị bệnh suy thận không?",treatment
"Có cách nào để điều trị bệnh ung thư không?",treatment
"Có cách nào để điều trị bệnh viêm quanh khớp không?",treatment
"Có cách nào để điều trị bệnh viêm thận không?",treatment
"Có cách nào để điều trị bệnh viêm xoang không?",treatment
"Có cách nào để giảm triệu chứng của bệnh xơ gan không?",treatment
"Có cách nào để ngăn ngừa bệnh tiểu đường không?",treatment
"Có cách nào điều trị bệnh viêm xoang không?",treatment
"Có cách nào giúp ngủ ngon hơn không?",treatment
"Có cách nào giúp ngủ ngon hơn không?",treatment
"Có những phương pháp điều trị nào cho bệnh tiểu đường?",treatment
"Có những phương pháp nào để điều trị bệnh tiểu đường?",treatment
"Có phương pháp nào để điều trị bệnh viêm gan không?",treatment
"Có phương pháp nào điều trị bệnh huyết áp thấp không?",treatment
"Có phương pháp nào giúp cải thiện sức khỏe tâm lý không?",treatment
"Có phương pháp nào giúp cải thiện sức khỏe tim mạch không?",treatment
"Có phương pháp nào giúp cải thiện sức khỏe tim mạch không?",treatment
"Có phương pháp nào giúp chữa bệnh trầm cảm không?",treatment
"Có phương pháp nào giúp điều trị bệnh cảm cúm không?",treatment
"Có phương pháp nào giúp điều trị bệnh chứng ngưng thở khi ngủ không?",treatment
"Có phương pháp nào giúp điều trị bệnh đau dạ dày không?",treatment
"Có phương pháp nào giúp điều trị bệnh rối loạn tiêu hóa không?",treatment
"Có phương pháp nào giúp điều trị bệnh viêm da không?",treatment
"Có phương pháp nào giúp điều trị bệnh viêm da tiếp xúc không?",treatment
"Có phương pháp nào giúp điều trị bệnh viêm gan C không?",treatment
"Có phương pháp nào giúp điều trị bệnh viêm khớp dạng thấp không?",treatment
"Có phương pháp nào giúp điều trị bệnh viêm tụy không?",treatment
"Có phương pháp nào giúp điều trị bệnh xơ gan không?",treatment
"Có phương pháp nào giúp giảm triệu chứng của bệnh huyết áp cao không?",treatment
"Có phương pháp nào giúp giảm triệu chứng của bệnh trầm cảm không?",treatment
"Có phương pháp nào hiệu quả cho bệnh viêm khớp không?",treatment
"Làm thế nào để cải thiện sức khỏe đường ruột?",treatment
"Làm thế nào để cải thiện sức khỏe tâm lý cho trẻ em?",treatment
"Làm thế nào để cải thiện sức khỏe tâm lý cho trẻ em?",treatment
"Làm thế nào để cải thiện triệu chứng của bệnh huyết áp cao?",treatment
"Làm thế nào để cải thiện triệu chứng của bệnh Parkinson?",treatment
"Làm thế nào để điều trị bệnh đau nhức cơ bắp?",treatment
"Làm thế nào để điều trị bệnh đột quỵ?",treatment
"Làm thế nào để điều trị bệnh hen suyễn?",treatment
"Làm thế nào để điều trị bệnh lupus ban đỏ?",treatment
"Làm thế nào để điều trị bệnh tiểu đường thai kỳ?",treatment
"Làm thế nào để điều trị bệnh viêm amidan?",treatment
"Làm thế nào để điều trị bệnh viêm da cơ địa?",treatment
"Làm thế nào để điều trị bệnh viêm màng não?",treatment
"Làm thế nào để điều trị bệnh viêm phổi tắc nghẽn mãn tính?",treatment
"Làm thế nào để điều trị bệnh viêm phổi?",treatment
"Làm thế nào để điều trị bệnh viêm quanh khớp?",treatment
"Làm thế nào để điều trị bệnh viêm thận không?",treatment
"Làm thế nào để giảm đau đầu?",treatment
"Làm thế nào để giảm đau đầu?",treatment
"Làm thế nào để giảm triệu chứng của bệnh chứng ngưng thở khi ngủ?",treatment
"Làm thế nào để giảm triệu chứng của bệnh đau nửa đầu?",treatment
"Làm thế nào để giảm triệu chứng của bệnh mệt mỏi mãn tính?",treatment
"Làm thế nào để giảm triệu chứng của bệnh Parkinson?",treatment
"Làm thế nào để giảm triệu chứng của bệnh trào ngược dạ dày thực quản?",treatment
"Làm thế nào để giảm triệu chứng của bệnh viêm mạch không?",treatment
"Phương pháp nào giúp cải thiện sức khỏe tâm thần?",treatment
"Phương pháp nào giúp giảm triệu chứng của bệnh viêm khớp?",treatment
"Phương pháp nào hiệu quả cho bệnh đau dạ dày?",treatment
"Phương pháp nào hiệu quả cho bệnh đau dạ dày?",treatment
"Phương pháp nào hiệu quả nhất cho bệnh tim mạch?",treatment
"Tôi cần làm gì để cải thiện sức khỏe hệ tiêu hóa?",treatment
"Tôi cần làm gì để điều trị bệnh chàm?",treatment
"Tôi cần làm gì để điều trị bệnh viêm gan tự miễn?",treatment
"Tôi cần làm gì để điều trị bệnh viêm mạch không?",treatment
"Tôi cần làm gì để giảm triệu chứng của bệnh rối loạn tiêu hóa?",treatment
"Tôi cần làm gì khi có triệu chứng khó thở?",treatment
"Tôi cần làm gì khi có triệu chứng khó thở?",treatment
"Tôi cần làm gì nếu bị đau lưng mãn tính?",treatment
"Tôi cần làm gì nếu có triệu chứng ngứa và phát ban?",treatment
"Tôi cần làm gì nếu có triệu chứng ngứa và phát ban?",treatment
"Tôi cần làm gì nếu có triệu chứng ngứa và phát ban?",treatment
"Tôi cần lưu ý gì khi có triệu chứng chóng mặt?",treatment
"Tôi cần lưu ý gì khi có triệu chứng đau đầu kéo dài?",treatment
"Tôi cần lưu ý gì khi có triệu chứng đau đầu kéo dài?",treatment
"Tôi có thể điều trị bệnh cảm cúm bằng cách nào?",treatment
"Tôi nên làm gì để cải thiện sức khỏe tâm thần?",treatment
"Tôi nên làm gì để điều trị bệnh viêm gan B?",treatment
"Tôi nên làm gì để giảm triệu chứng của bệnh lo âu?",treatment
"Tôi nên làm gì khi bị chấn thương thể thao?",treatment
"Tôi nên làm gì khi có triệu chứng chóng mặt?",treatment
"Tôi nên làm gì khi có triệu chứng ho kéo dài?",treatment
"Tôi nên làm gì khi có triệu chứng ho kéo dài?",treatment
"Tôi nên làm gì khi có triệu chứng khó thở?",treatment


"Cách dùng dược phẩm nào để chữa bệnh viêm mũi?",medication_info
"Cách dùng thuốc trị viêm khớp như thế nào?",medication_info
"Cách nào để uống thuốc điều trị bệnh gout?",medication_info
"Cách nào để uống thuốc điều trị bệnh gout?",medication_info
"Cách sử dụng dược phẩm chống nôn như thế nào?",medication_info
"Cách sử dụng dược phẩm chống viêm như thế nào?",medication_info
"Cách sử dụng dược phẩm chữa bệnh viêm gan như thế nào?",medication_info
"Cách sử dụng dược phẩm để điều trị bệnh viêm khớp như thế nào?",medication_info
"Cách sử dụng kháng sinh cho bệnh viêm họng như thế nào?",medication_info
"Cách sử dụng kháng sinh cho bệnh viêm phổi như thế nào?",medication_info
"Cách sử dụng liều lượng giảm đau như thế nào?",medication_info
"Cách sử dụng thuốc chống trầm cảm như thế nào?",medication_info
"Cách sử dụng thuốc chống trầm cảm như thế nào?",medication_info
"Cách sử dụng thuốc điều trị bệnh loãng xương như thế nào?",medication_info
"Cách sử dụng thuốc điều trị bệnh tiểu đường như thế nào?",medication_info
"Cách sử dụng thuốc điều trị bệnh tiểu đường như thế nào?",medication_info
"Cách sử dụng thuốc điều trị bệnh tim mạch như thế nào?",medication_info
"Cách sử dụng thuốc điều trị bệnh viêm gan C như thế nào?",medication_info
"Cách sử dụng thuốc điều trị bệnh viêm ruột không rõ nguyên nhân như thế nào?",medication_info
"Cách sử dụng thuốc điều trị bệnh xơ gan như thế nào?",medication_info
"Cách sử dụng thuốc giảm đau như thế nào?",medication_info
"Cách sử dụng thuốc trị mụn có hiệu quả không?",medication_info
"Cách uống kháng sinh cho bệnh viêm tai giữa như thế nào?",medication_info
"Cách uống thuốc bổ sung omega-3 như thế nào?",medication_info
"Cách uống thuốc bổ sung omega-3 như thế nào?",medication_info
"Cách uống thuốc bổ sung probiotics như thế nào?",medication_info
"Cách uống thuốc bổ sung vitamin B12 như thế nào?",medication_info
"Cách uống thuốc bổ sung vitamin C như thế nào?",medication_info
"Cách uống thuốc bổ sung vitamin D như thế nào?",medication_info
"Cách uống thuốc điều trị bệnh mỡ máu cao như thế nào?",medication_info
"Cách uống thuốc điều trị bệnh tăng huyết áp như thế nào?",medication_info
"Cách uống thuốc điều trị bệnh tiểu đường như thế nào?",medication_info
"Cách uống thuốc điều trị bệnh tim mạch như thế nào?",medication_info
"Cách uống thuốc điều trị bệnh trầm cảm như thế nào?",medication_info
"Cách uống thuốc điều trị bệnh trầm cảm như thế nào?",medication_info
"Cách uống thuốc điều trị bệnh viêm dạ dày như thế nào?",medication_info
"Cách uống thuốc điều trị bệnh viêm phế quản như thế nào?",medication_info
"Cách uống thuốc điều trị bệnh xương khớp như thế nào?",medication_info
"Cách uống thuốc điều trị viêm khớp như thế nào?",medication_info
"Cách uống thuốc giảm stress như thế nào?",medication_info
"Cách uống thuốc huyết áp như thế nào?",medication_info
"Cách uống thuốc huyết áp như thế nào?",medication_info
"Cách uống thuốc huyết áp như thế nào?",medication_info
"Cách uống thuốc kháng viêm như thế nào?",medication_info
"Cách uống thuốc kháng viêm như thế nào?",medication_info
"Cách uống thuốc trị mụn như thế nào?",medication_info
"Cách uống thuốc trị mụn như thế nào?",medication_info
"Cần dùng thuốc gì để giảm triệu chứng sốt?",medication_info
"Cần uống dược liệu gì cho bệnh đau dạ dày?",medication_info
"Cần uống dược phẩm gì cho bệnh đau đầu?",medication_info
"Cần uống dược phẩm gì cho bệnh tiểu đường?",medication_info
"Cần uống kháng sinh gì cho cảm lạnh?",medication_info
"Cần uống thuốc gì cho bệnh đau dạ dày?",medication_info
"Cần uống thuốc gì cho bệnh tiểu đường?",medication_info
"Cần uống thuốc gì cho bệnh viêm phổi tắc nghẽn không?",medication_info
"Cần uống thuốc gì cho cảm lạnh?",medication_info
"Cần uống thuốc gì cho cảm lạnh?",medication_info
"Cần uống thuốc gì cho triệu chứng rối loạn tiêu hóa?",medication_info
"Cần uống thuốc gì để giảm triệu chứng sốt?",medication_info
"Có dược liệu nào giúp giảm đau bụng không?",medication_info
"Có dược liệu nào tốt cho bệnh lý tim mạch không?",medication_info
"Có dược liệu nào tốt cho bệnh suy nhược không?",medication_info
"Có dược phẩm nào giúp cải thiện giấc ngủ không?",medication_info
"Có dược phẩm nào giúp cải thiện tiêu hóa không?",medication_info
"Có dược phẩm nào giúp giảm triệu chứng chóng mặt không?",medication_info
"Có dược phẩm nào giúp giảm triệu chứng đau bụng không?",medication_info
"Có dược phẩm nào giúp giảm triệu chứng táo bón không?",medication_info
"Có dược phẩm nào giúp giảm triệu chứng tê bì không?",medication_info
"Có dược phẩm nào giúp tăng cường sức khỏe tim mạch không?",medication_info
"Có dược phẩm nào tốt cho bệnh lý tim mạch không?",medication_info
"Có kháng sinh nào giúp giảm triệu chứng nhiễm trùng đường tiết niệu không?",medication_info
"Có kháng sinh nào hiệu quả cho bệnh viêm bàng quang không?",medication_info
"Có loại dược liệu nào giúp cải thiện tâm trạng không?",medication_info
"Có loại dược liệu nào giúp giảm mệt mỏi không?",medication_info
"Có loại dược liệu nào giúp giảm mệt mỏi không?",medication_info
"Có loại dược liệu nào giúp giảm triệu chứng dị ứng không?",medication_info
"Có loại dược liệu nào giúp giảm triệu chứng ho không?",medication_info
"Có loại dược liệu nào giúp giảm triệu chứng lo âu không?",medication_info
"Có loại dược liệu nào giúp giảm triệu chứng mất ngủ không?",medication_info
"Có loại dược liệu nào giúp giảm triệu chứng trầm cảm không?",medication_info
"Có loại dược liệu nào giúp ngủ ngon hơn không?",medication_info
"Có loại kháng sinh nào giảm triệu chứng ho không?",medication_info
"Có loại kháng sinh nào giúp cải thiện trí nhớ không?",medication_info
"Có loại kháng sinh nào giúp chữa bệnh viêm dạ dày không?",medication_info
"Có loại kháng sinh nào giúp chữa bệnh viêm da không?",medication_info
"Có loại kháng sinh nào giúp chữa bệnh viêm họng không?",medication_info
"Có loại kháng sinh nào giúp chữa bệnh viêm mũi không?",medication_info
"Có loại kháng sinh nào giúp chữa bệnh viêm ruột không?",medication_info
"Có loại kháng sinh nào giúp giảm dị ứng không?",medication_info
